电视,#genre#
台视新闻,https://pkj99.github.io/YTLive/台視新聞.m3u8
镜新闻,https://pkj99.github.io/YTLive/鏡新聞.m3u8
Bloomberg-4K彭博社,https://bc20d7c2a7b14dd0ae827a2e3eb99116.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-gb_Bloomberg/playlist.m3u8
Fashion-4K法国时尚电视台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Clarity-4K突突突,https://d6s2o8so4wk28.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-2vzmnn0zl3exh-prod/amgclarity4k/playlist.m3u8
LoveNature-4K大自然纪实,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe-4K艺术流媒体,http://d2dw21aq0j0l5c.cloudfront.net/playlist.m3u8
NASA1美国国家航空航天局,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master.m3u8
NASA2美国国家航空航天局,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8
SportsGrid体育流媒体,https://sportsgrid-klowdtv.amagi.tv/playlist.m3u8
RedBull红牛频道,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
Outside户外运动,https://outsidetv-outside-localnow.amagi.tv/playlistR1080p.m3u8
Discovery探索频道,http://45.159.74.14:80/DiscoveryChannel/index.m3u8
Music-MTV,https://code.vthanhtivi.pw/getlink/eazie/243115/playlist.m3u8
Music-THT,http://tntmsmotr.mediacdn.ru/cdn/smotr/playlist_hdhigh.m3u8
Music-PMC,https://hls.pmchd.live/hls/stream.m3u8
Music-M2,http://live.m2.tv/hls3/stream.m3u8
Music-Vibee,http://de1se01.v2beat.live/chunks.m3u8
Trace Sports达尔文,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
SkySport天空体育台,https://donelfantastic.github.io/live/skysportsNz8.m3u8
FIFA+国际足联,https://i.mjh.nz/SamsungTVPlus/USBD12000255B.m3u8
RT今日俄罗斯电视台,https://rt-glb.rttv.com/live/rtnews/playlist.m3u8
WION印度新闻台,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
ABC澳大利亚公共电视台,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
TRT土耳其广播电视台,https://tv-trtworld.live.trt.com.tr/master.m3u8
Al Jazeera卡塔尔半岛电视台,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
CNA新加坡亚洲新闻台,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Euronews欧洲新闻电视台,https://rakuten-euronews-10-be.samsung.wurl.tv/playlist.m3u8
DW德国之声,https://dwamdstream107.akamaized.net/hls/live/2017968/dwstream107/stream05/streamPlaylist.m3u8
France24法国新闻社,https://cdn.klowdtv.net/803B48A/n1.klowdtv.net/live2/france24_720p/playlist.m3u8
BBC英国广播公司,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
Sky天空电视台,https://i.mjh.nz/SamsungTVPlus/USBB52000022Q.m3u8
GB英国版福斯新闻,https://i.mjh.nz/SamsungTVPlus/GBBB1600008R3.m3u8
CNN美国有线电视新闻网,https://dhzhj55w8hou6.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-bmoob4iijm59i/index.m3u8
GlobalNews美国环球新闻,https://live.corusdigitaldev.com/groupd/live/8970c668-40cd-4ca9-8c4d-25fd04f619b5/live.isml/.m3u8
FOX美国福克斯新闻网,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
CBS美国哥伦比亚广播公司,https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8
ABC美国广播公司,https://i.mjh.nz/SamsungTVPlus/USBC39000171G.m3u8
NBC环球新闻集团,https://i.mjh.nz/SamsungTVPlus/USBB2200014DK.m3u8
Newsmax特朗普电视台,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
CBN基督教,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
咪咕直播4K-1,http://[2409:8087:1a01:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播4K-2,http://[2409:8087:1a01:df::4005]/PLTV/88888888/224/3221225651/index.m3u8
咪咕直播-1,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225611/index.m3u8
咪咕直播-2,http://[2409:8087:1a01:df::4005]/PLTV/88888888/224/3221225613/index.m3u8
咪咕直播-3,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225619/index.m3u8
咪咕直播-4,http://[2409:8087:1a01:df::4058]/PLTV/88888888/224/3221225620/index.m3u8
咪咕直播-5,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225639/index.m3u8
咪咕直播-6,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225641/index.m3u8
咪咕直播-7,http://[2409:8087:1a01:df::4011]/PLTV/88888888/224/3221225643/index.m3u8
咪咕直播-8,http://[2409:8087:1a01:df::4002]/PLTV/88888888/224/3221225645/index.m3u8
咪咕直播-9,http://[2409:8087:1a01:df::4016]/PLTV/88888888/224/3221225647/index.m3u8
咪咕直播-10,http://[2409:8087:1a01:df::4022]/PLTV/88888888/224/3221225648/index.m3u8
咪咕直播-11,http://[2409:8087:1a01:df::402a]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
咪咕直播-12,http://[2409:8087:1a01:df::4046]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
咪咕直播-13,http://[2409:8087:1a01:df::4014]/PLTV/88888888/224/3221225652/index.m3u8
咪咕直播-14,http://[2409:8087:1a01:df::4013]/PLTV/88888888/224/3221225653/index.m3u8
咪咕直播-15,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225654/index.m3u8
咪咕直播-16,http://[2409:8087:1a01:df::4019]/PLTV/88888888/224/3221225658/index.m3u8
咪咕直播-17,http://[2409:8087:1a01:df::4012]/PLTV/88888888/224/3221225660/index.m3u8
咪咕直播-18,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225662/index.m3u8
咪咕直播-19,http://[2409:8087:1a01:df::4062]/PLTV/88888888/224/3221225733/index.m3u8
咪咕直播-20,http://[2409:8087:1a01:df::4048]/PLTV/88888888/224/3221225735/index.m3u8
咪咕直播-21,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225737/index.m3u8
咪咕直播-22,http://[2409:8087:1a01:df::4074]/PLTV/88888888/224/3221225739/index.m3u8
咪咕直播-23,http://[2409:8087:1a01:df::4030]/PLTV/88888888/224/3221225754/index.m3u8
咪咕直播-24,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225756/index.m3u8
咪咕直播-25,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225758/index.m3u8
咪咕直播-26,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225760/index.m3u8
咪咕直播-27,http://[2409:8087:1a01:df::4002]/PLTV/88888888/224/3221225895/index.m3u8
咪咕直播-28,http://[2409:8087:1a01:df::4028]/PLTV/88888888/224/3221225897/index.m3u8
咪咕直播-29,http://[2409:8087:1a01:df::4061]/PLTV/88888888/224/3221225899/index.m3u8
咪咕直播-30,http://[2409:8087:1a01:df::4009]/PLTV/88888888/224/3221225901/index.m3u8
咪咕直播-31,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225903/index.m3u8
咪咕直播-32,http://[2409:8087:1a01:df::403b]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
咪咕直播-33,http://[2409:8087:1a01:df::4051]/PLTV/88888888/224/3221225905/index.m3u8
咪咕直播-34,http://[2409:8087:1a01:df::4033]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
咪咕直播-35,http://[2409:8087:1a01:df::4055]/PLTV/88888888/224/3221225910/index.m3u8
咪咕直播-36,http://[2409:8087:1a01:df::4076]/PLTV/88888888/224/3221225912/index.m3u8
咪咕直播-37,http://[2409:8087:1a01:df::4027]/PLTV/88888888/224/3221225914/index.m3u8
咪咕直播-38,http://[2409:8087:1a01:df::4076]/PLTV/88888888/224/3221226027/index.m3u8
咪咕直播-39,http://[2409:8087:1a01:df::4068]/PLTV/88888888/224/3221226031/index.m3u8
咪咕直播-40,http://[2409:8087:1a01:df::4062]/PLTV/88888888/224/3221226046/index.m3u8
咪咕直播-41,http://[2409:8087:1a01:df::4041]/PLTV/88888888/224/3221226053/index.m3u8
咪咕直播-42,http://[2409:8087:1a01:df::404d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8


